"1|1|The food great , I love salad . The service nice I always come . Because 's near house . Nice I want walk grab food . : )"
2|2|Horrible service dont come subway charge th app didnt give food
3|2|I insult reason All I want tuna sandwich I love subway 's always bad treatment I go except old guy mustache
4|2|Terrible customer service Indian woman work here- n't go subway .
"5|1|Every time I come I good experience , sure reviewer complain . I live within walk distance food always good , employee always friendly chatty ."
6|2|DO NOT COME HERE ! ! ! Horrible Service ... Owner n't care client 's rude bad spoken ! There 's much good Subways around area ...
"7|2|This Subway . It national chain specialize make depressing , overpriced substandard sandwich . One go Subway resort , make mistake coupon get make taste well . This location small , average best ."
8|1|I 'm surprise review . The employee kind people ever know exactly `` light lettuce `` meant . Would say 's good subway area ( four ) .
"9|2|Ok ... seriously n't even bother go Subway ! Nothing spell `` cheap `` like Subway . I order cold club , w/o ham sub roast beef . The sandwich maker put 2 slice , count , 1 & 2 SLICES roast beef -- -on footlong ! WTF w/that ? I 've frugal experience w/ subway location.And 've get catchy phrase `` $ 5 ... $ 5 .... $ 5 ... footlong `` ... ummmm ... nothing $ 5 footlong ! ! The thing freakin cost $ 8 , sandwich alone ! ! I n't think cold cut sandwich food tax $ 3 dude ! What rip .. pssshh !"
10|2|This place suck .. Its clean food isnt subway . The steak & cheese terrible ! Never go back place .
"11|1|I stop today lunch I happen see place shoppng center I . I know deal day , amount special promotion particula sub base upon partucular day . Today turkey breast dandwich $ 3.99 . That sound like healthy option , I figure ! There snall line practicalky nobody eat inside restaurant . I ask provalone cheese , lettuce , tomatirs , pickle , black olive , awesome red pepper . I skip chios drink , 6 `` sub sufficient quick lunch . The sub taste good ni issue report . The people work behind counter nice also !"
"12|2|I decide eat Subway first time many year , I remember I never go anymore . Wheat bread taste like cardboard n't fresh . Had tuna lettuce , tomato , onion , vinegar . I manage finish sandwich , 's best thing I could say right . When I young , I would come Subway quite often since footlong quite bit food cheap price . The sandwich n't make cut anymore . It 's garbage . Their slogan `` eat fresh `` . What joke . I never return unless outside force posse ."
13|2|I order meatball sandwich give I like meatball sandwich 's sandwich day . When I ask mozzarella cheese meatball say choice I provolone . I 've never subway I n't get choose topping I want meat . I would understand n't mozzarella ! They n't want let way
"14|2|Hey Supervisor Manager , I n't know two uneducated broad work 4/23/18 9:30pm sharp , I hope know training communication evidentially shit . I come 9:25 two wrap up/closing ( I understand dining service associate ) come burden interrupt process rub wrong way . In short , customer service skill need lot work . I n't care whatever personal issue might 've go mind time want shop empty expedite process , I hope 're smart enough figure perception customer key . Business come first . Does n't take much common sense figure . Or case , may special needs requirement two comprehend appropriately . Do n't like 're read ? FIX IT . Nimrods ."
"15|1|This favorite Subway location . I always receive great service , go beyond customer . Delicious food nice people work !"
